sample_index,leaf_tokens,macro_tokens,compression_ratio,leaf_edges,macro_anchor_edges,macro_boundary_edges,bbox_volume,leaf_unique_types,macro_unique_types,leaf_edges_plus_x,leaf_edges_plus_y,leaf_edges_plus_z
96,4238,3713,0.8761208117036338,9963,7765,9431,24960,1513,1853,3423,3282,3258
97,3821,2289,0.599057838262235,8175,3607,6283,19712,832,1209,3161,2253,2761
98,940,799,0.85,1947,1384,1806,4480,567,627,651,665,631
99,3551,2180,0.6139115742044494,7982,3455,6550,7168,657,995,3187,1656,3139
100,702,501,0.7136752136752137,1574,877,1365,1536,271,335,540,596,438
101,2671,1763,0.6600524148259079,5784,2754,4855,7040,814,1106,2048,2096,1640
102,896,704,0.7857142857142857,1829,1185,1636,12544,495,558,577,689,563
103,787,651,0.8271918678526048,1628,1122,1492,4608,496,537,519,618,491
104,2494,1838,0.7369687249398557,5365,3410,4634,23040,945,1133,1944,1516,1905
105,2182,1809,0.8290559120073328,5200,3706,4810,11648,933,1082,1848,1495,1857
106,1098,921,0.8387978142076503,2306,1627,2129,9600,628,699,744,682,880
107,4455,3784,0.8493827160493828,10203,7499,9521,22528,1303,1678,3558,3081,3564
108,549,455,0.8287795992714025,1209,848,1111,2560,339,365,451,417,341
109,2272,1751,0.7706866197183099,4478,2628,3956,24960,804,1056,1382,1677,1419
110,4021,2867,0.7130067147475753,9122,4933,7911,20480,1038,1369,3528,2385,3209
111,1237,1035,0.8367016976556184,2913,2092,2708,7168,619,714,1008,1027,878
112,1770,1568,0.8858757062146893,3792,2997,3590,8448,920,1049,1304,1348,1140
113,1049,907,0.8646329837940896,2218,1687,2076,3840,574,631,797,619,802
114,1481,856,0.5779878460499662,3019,1132,2387,8448,318,434,1248,621,1150
115,1174,978,0.8330494037478705,2565,1776,2364,9856,689,766,897,878,790
116,2672,1423,0.5325598802395209,5457,1971,4100,28800,630,852,1905,1316,2236
117,1806,1516,0.8394241417497231,3773,2683,3483,10240,813,985,1338,975,1460
118,965,833,0.8632124352331606,1919,1413,1787,7680,621,665,621,734,564
119,3407,3067,0.9002054593484003,7021,5547,6680,21824,1131,1323,2137,2452,2432
120,780,668,0.8564102564102564,1648,1226,1536,5120,497,535,528,640,480
121,1740,1433,0.8235632183908046,3510,2378,3203,10368,894,1042,1164,1174,1172
122,913,787,0.8619934282584885,1989,1497,1863,3584,569,624,641,751,597
123,2944,1398,0.4748641304347826,5942,1447,4358,21120,308,530,2330,1308,2304
124,2156,1833,0.8501855287569573,4723,3387,4400,19712,838,1015,1597,1527,1599
125,2275,1682,0.7393406593406593,5024,2978,4421,6144,898,1146,1887,1427,1710
126,843,701,0.8315539739027283,1727,1179,1585,4096,509,553,452,710,565
127,3668,2925,0.7974372955288986,8614,5546,7870,26880,846,1073,2078,3229,3307
128,2627,1684,0.6410354015987819,5827,2325,4877,21632,487,660,2022,1778,2027
129,4323,3667,0.8482535276428406,9572,7015,8907,19968,1289,1707,3207,3020,3345
130,3614,2375,0.6571665744327615,7732,3582,6424,16896,789,1122,2923,2367,2442
131,5803,4282,0.7378941926589695,13489,7447,11944,14976,1073,1567,4234,4568,4687
132,224,184,0.8214285714285714,425,288,385,3328,162,165,163,158,104
133,1960,1063,0.5423469387755102,3934,1386,2971,7040,539,634,1470,1620,844
134,5049,2894,0.5731828084769262,11705,4768,9256,15360,1002,1329,3923,3745,4037
135,2174,1652,0.7598896044158233,4765,2979,4196,8192,898,1123,1557,1628,1580
136,2498,2214,0.8863090472377902,5376,4278,5091,18432,1175,1359,1832,1712,1832
137,3089,2215,0.7170605373907414,6905,3879,5983,18304,1099,1407,2594,1987,2324
138,1847,1548,0.8381158635625339,3632,2480,3333,19968,865,1040,1071,1254,1307
139,1866,1428,0.7652733118971061,4118,2442,3676,7680,570,704,1599,921,1598
140,2496,2186,0.875801282051282,6023,4673,5712,12800,1072,1289,1965,2071,1987
141,847,759,0.8961038961038961,1820,1477,1732,21632,573,605,599,651,570
142,1186,1010,0.851602023608769,2343,1693,2166,6912,614,714,911,845,587
143,853,531,0.6225087924970691,1903,814,1576,1152,287,361,573,540,790
144,2938,2475,0.8424098025867938,6270,4433,5807,23296,1151,1417,2280,1949,2041
145,2280,1853,0.8127192982456141,4859,3228,4426,10240,758,976,1939,984,1936
146,1138,969,0.851493848857645,2376,1722,2207,5120,630,713,955,850,571
147,2815,2269,0.8060390763765541,6145,4142,5589,24960,1130,1417,2026,2144,1975
148,1453,633,0.43565037852718513,2897,727,1950,7168,226,340,1067,1181,649
149,4242,3492,0.8231966053748232,8735,5864,7985,26880,1342,1842,2929,2894,2912
150,1116,799,0.7159498207885304,2365,1317,2040,4224,502,580,558,856,951
151,3673,3202,0.871766947998911,8521,6496,8048,14080,1222,1481,2848,2920,2753
152,2158,1775,0.8225208526413346,4392,2958,4009,9856,985,1213,1545,1248,1599
153,3691,3083,0.8352749932267678,8620,5995,8012,18432,1194,1620,2912,2795,2913
154,1553,1181,0.760463618802318,3466,2044,3093,3840,523,638,1275,910,1281
155,1577,1345,0.8528852251109702,3135,2261,2903,21120,800,922,1192,748,1195
156,463,382,0.8250539956803455,879,600,798,6400,292,297,262,253,364
157,3378,2780,0.8229721728833629,7143,4908,6542,23296,1306,1642,2440,2124,2579
158,5535,4074,0.7360433604336043,12421,7138,10907,23296,1268,1810,4003,3910,4508
159,3144,1841,0.585559796437659,6896,2519,5590,12800,300,499,2040,2816,2040
160,2216,1834,0.8276173285198556,4691,3227,4308,8192,1017,1261,1453,1788,1450
161,3069,2659,0.8664059954382535,7254,5698,6835,21632,1079,1280,2345,2496,2413
162,1610,1371,0.8515527950310559,2964,2154,2725,8960,705,846,1030,678,1256
163,670,578,0.8626865671641791,1489,1157,1397,3840,455,475,448,526,515
164,920,805,0.875,1834,1406,1713,12288,600,635,652,588,594
165,1448,1247,0.8611878453038674,2880,2110,2679,12800,804,911,903,1029,948
166,1323,742,0.5608465608465608,2947,1193,2262,3072,413,548,1099,696,1152
167,2598,2093,0.8056197074672825,5218,3360,4713,12672,977,1275,1654,1829,1735
168,3779,3336,0.8827732204286849,8741,6862,8298,19968,1285,1613,2863,2904,2974
169,1510,918,0.6079470198675496,3237,1331,2616,3456,380,536,1212,905,1120
170,580,484,0.8344827586206897,1181,835,1085,6400,415,429,425,380,376
171,1620,1326,0.8185185185185185,3201,2124,2907,10752,780,924,1080,887,1234
172,941,831,0.8831030818278427,1919,1502,1809,3584,598,642,628,799,492
173,1210,971,0.8024793388429752,2820,1858,2581,7168,626,729,957,828,1035
174,477,437,0.9161425576519916,933,788,893,1920,344,353,290,374,269
175,1538,878,0.5708712613784135,3328,1305,2588,7680,458,598,947,1142,1239
176,3054,2566,0.8402095612311722,6544,4671,6055,24960,1138,1462,2449,1682,2413
177,186,136,0.7311827956989247,385,198,335,384,106,116,172,125,88
178,4745,3189,0.6720758693361433,11015,5116,9401,15360,854,1332,3933,3293,3789
179,1850,1536,0.8302702702702702,3727,2570,3413,10240,874,1058,1024,1220,1483
180,2466,1791,0.7262773722627737,5541,3093,4840,7168,924,1206,1897,1703,1941
181,1733,1451,0.8372763993075591,3593,2529,3311,9216,844,1021,1204,1241,1148
182,1901,1368,0.7196212519726459,4354,2547,3797,20480,707,830,1564,1311,1479
183,1186,699,0.5893760539629005,2711,1072,2201,5376,415,533,944,742,1025
184,1940,1394,0.7185567010309278,3897,2063,3342,18432,809,984,1391,1124,1382
185,2673,2305,0.8623269734380845,6249,4726,5879,12672,1180,1433,2011,2197,2041
186,1416,1196,0.844632768361582,2917,2060,2697,13440,803,907,986,992,939
187,2113,1497,0.7084713677236157,4313,2347,3685,21632,768,954,1414,1479,1420
188,2502,1927,0.7701838529176659,5836,3586,5245,7168,795,993,2145,1534,2157
189,6162,5282,0.8571892242778318,13701,9948,12821,28672,1636,2269,4426,4819,4456
190,2692,1691,0.6281575037147102,5470,2667,4379,23040,666,895,1918,1645,1907
191,2678,2346,0.8760268857356236,6313,4925,5979,14976,1142,1351,2034,2237,2042
192,1960,1658,0.8459183673469388,3986,2824,3684,17280,887,1081,1545,1035,1406
193,2138,1803,0.843311506080449,4886,3526,4550,8064,1004,1206,1802,1500,1584
194,1494,642,0.42971887550200805,2982,672,2051,10368,244,379,1034,914,1034
195,471,407,0.8641188959660298,976,727,912,1920,353,352,317,365,294
196,1597,1281,0.802128991859737,3448,2292,3127,12800,766,917,1297,1101,1050
197,1108,768,0.6931407942238267,2310,1230,1970,4096,497,551,714,958,638
198,2107,1366,0.6483151400094922,4601,2104,3853,8448,659,951,1620,1491,1490
199,1172,1071,0.9138225255972696,2559,2151,2458,6400,720,773,832,951,776
200,1696,1337,0.7883254716981132,3209,2092,2847,6144,596,738,1228,864,1117
201,526,454,0.8631178707224335,1096,817,1024,4096,369,387,316,360,420
202,1553,1100,0.7083065035415326,2941,1581,2459,19712,609,700,1153,579,1209
203,656,580,0.8841463414634146,1284,982,1208,6272,468,479,420,412,452
204,2507,1930,0.769844435580375,5237,3282,4655,14080,1013,1275,1980,1482,1775
205,832,719,0.8641826923076923,1741,1309,1628,4992,525,566,573,656,512
206,1208,421,0.3485099337748344,2412,433,1460,2048,131,218,1116,276,1020
207,3106,2655,0.8547971667739859,7270,5319,6819,19200,1219,1504,2497,2276,2497
208,2143,1701,0.7937470835277648,4556,2839,4110,7680,787,1018,1607,1347,1602
209,3568,2457,0.6886210762331838,7999,4640,6770,11648,942,1162,2993,1804,3202
210,1373,1152,0.8390386016023307,2779,1958,2558,23296,623,740,984,883,912
211,1683,1447,0.8597742127153892,3718,2765,3482,4480,876,1021,1315,1011,1392
212,2240,2052,0.9160714285714285,4694,3936,4505,12800,962,1082,1485,1604,1605
213,3576,3362,0.9401565995525727,7980,7059,7766,29760,1416,1593,2642,2695,2643
214,6395,4035,0.6309616888193902,14144,5972,11662,23296,900,1379,4576,5076,4492
215,5677,4099,0.7220362867711819,14069,7642,12450,10752,1260,1774,4835,4468,4766
216,916,850,0.9279475982532751,1837,1577,1771,1792,389,434,805,219,813
217,894,757,0.8467561521252797,1895,1373,1758,4992,528,594,714,682,499
218,1948,1643,0.8434291581108829,3965,2797,3660,13440,914,1094,1496,1117,1352
219,818,703,0.8594132029339854,1708,1269,1593,6400,507,556,523,504,681
220,3433,2449,0.713370230119429,8213,4550,7205,5760,970,1283,3024,2191,2998
221,1792,1390,0.7756696428571429,4112,2618,3693,4480,799,959,1389,1190,1533
222,3514,3171,0.9023904382470119,8316,6840,7971,18304,1344,1576,2733,2811,2772
223,945,333,0.3523809523809524,1925,395,1159,2816,159,215,843,265,817
224,3288,2063,0.6274330900243309,7297,3209,6034,13312,717,1090,2575,2265,2457
225,855,759,0.887719298245614,1760,1387,1664,4608,564,601,493,695,572
226,2685,1468,0.5467411545623836,6290,2061,5018,8192,531,790,2383,1497,2410
227,826,745,0.9019370460048426,1735,1434,1654,7168,566,596,569,639,527
228,2705,2025,0.7486136783733827,5800,3563,5054,21632,846,1089,2125,1550,2125
229,3161,2351,0.7437519772223979,6524,3870,5657,28672,1039,1344,2478,1484,2562
230,1126,942,0.8365896980461812,2315,1600,2131,4608,691,741,727,877,711
231,2257,1501,0.6650420912715995,4872,2362,4077,23296,733,957,1574,1675,1623
232,2354,1971,0.8372982158028887,4650,3211,4267,19712,986,1242,1276,1768,1606
233,1101,568,0.5158946412352406,2491,681,1910,3584,204,275,986,638,867
234,1054,932,0.8842504743833017,2409,1880,2287,4608,549,606,771,903,735
235,699,587,0.8397711015736766,1435,1026,1323,5376,443,474,490,542,403
236,1250,885,0.708,2886,1549,2519,4480,470,607,1061,846,979
237,2439,2047,0.8392783927839278,5041,3530,4649,16128,1032,1280,1540,1686,1815
238,3052,2539,0.831913499344692,6455,4401,5942,19968,1188,1541,2193,2178,2084
239,2074,1152,0.5554484088717454,4732,1868,3692,9216,608,739,1585,1566,1581
240,1988,1612,0.8108651911468813,4156,2770,3779,11648,922,1128,1457,1409,1290
241,2053,1616,0.7871407696054554,4181,2644,3741,22528,774,950,1633,921,1627
242,1633,1398,0.8560930802204532,3481,2712,3239,8192,749,850,1350,776,1355
243,1251,827,0.6610711430855316,2922,1382,2492,6144,495,587,1019,834,1069
244,3046,2562,0.8411030860144452,6276,4477,5792,15488,1203,1546,2029,2057,2190
245,7073,5122,0.7241623073660398,15351,8476,13310,26880,1269,1898,4952,5592,4807
246,2650,2188,0.8256603773584905,5804,3996,5341,14080,1111,1378,1930,1802,2072
247,776,501,0.645618556701031,1278,592,992,4480,261,330,412,312,554
248,3311,2770,0.8366052552099064,6855,4748,6314,19712,1231,1600,2385,2315,2155
249,1489,1284,0.8623237071860309,3250,2462,3045,8192,794,904,1014,1233,1003
250,3094,2593,0.8380736910148675,6269,4395,5766,18304,1147,1489,2186,2047,2036
251,1602,891,0.5561797752808989,3333,1418,2611,10368,516,617,1204,937,1192
252,780,649,0.8320512820512821,1675,1171,1543,4032,472,521,523,660,492
253,780,648,0.8307692307692308,1661,1152,1529,5760,495,545,574,625,462
254,3194,2251,0.7047589229805886,7308,3930,6338,28800,892,1163,2569,2152,2587
255,1856,1364,0.7349137931034483,4150,2419,3643,8064,791,982,1464,1378,1308
256,1599,1369,0.8561601000625391,3322,2453,3092,8192,823,958,1033,997,1292
257,1791,1185,0.661641541038526,4177,1970,3570,4608,602,747,1327,1276,1574
258,2727,2109,0.7733773377337734,6590,4036,5966,5760,952,1251,2324,1934,2332
259,2073,1639,0.7906415822479498,4157,2532,3723,14336,844,1094,1389,1570,1198
260,3226,3006,0.9318040917544947,7813,6797,7592,7680,879,1007,2652,2519,2642
261,1071,938,0.8758169934640523,2344,1818,2211,7680,649,697,730,827,787
262,3659,3236,0.8843946433451763,7800,6171,7377,24576,1407,1754,2581,2534,2685
263,846,749,0.8853427895981087,1846,1455,1749,5120,499,550,594,724,528
264,1109,926,0.8349864743011722,2184,1517,2000,7680,541,629,875,909,400
265,3433,2857,0.8322167200699097,6915,4753,6339,25088,1083,1427,2285,2345,2285
266,239,220,0.9205020920502092,510,438,491,3584,206,204,169,151,190
267,2997,2456,0.8194861528194861,6186,4133,5644,24960,1193,1561,2071,2111,2004
268,799,675,0.8448060075093867,1695,1210,1571,4096,477,521,530,666,499
269,1206,1042,0.8640132669983416,2557,1922,2393,7680,666,758,907,912,738
270,1437,1102,0.7668754349338901,3006,1872,2638,11520,650,759,917,1117,972
271,4607,3963,0.8602127197742566,9383,6961,8739,26880,1537,1998,3169,3072,3142
272,943,827,0.8769883351007424,2121,1625,2005,7680,530,594,721,768,632
273,1676,1487,0.8872315035799523,3591,2833,3402,13312,858,976,1195,1278,1118
274,4008,3507,0.875,8601,6630,8100,28800,1141,1488,3018,2574,3009
275,1291,911,0.7056545313710302,2793,1570,2394,12288,335,432,1062,677,1054
276,4089,3301,0.8072878454389827,8098,5110,7310,28800,1227,1731,2681,2734,2683
277,862,701,0.8132250580046404,1857,1246,1695,4608,514,580,515,604,738
278,2213,1643,0.7424310890194307,4903,3056,4316,6656,699,829,1807,1254,1842
279,6163,5464,0.8865812104494565,13643,11025,12942,26880,1743,2075,4531,4567,4545
280,3238,2274,0.7022853613341569,7582,3958,6587,13312,1001,1300,2697,2163,2722
281,1232,925,0.7508116883116883,2470,1406,2156,4224,611,721,979,500,991
282,4731,3383,0.7150708095540055,10391,5773,9015,26880,1283,1739,3669,2858,3864
283,2473,1690,0.6833805095026284,5864,3032,5035,11520,748,994,2015,1920,1929
284,3503,2909,0.8304310590922067,7397,5153,6802,25088,1236,1655,2467,2451,2479
285,4670,3782,0.8098501070663812,9404,6068,8516,28800,1363,1958,3075,3050,3279
286,2663,2082,0.7818250093879083,6207,4060,5598,10240,1027,1271,2083,1950,2174
287,1425,1228,0.8617543859649123,3052,2273,2854,9216,762,889,1010,1082,960
288,2736,2168,0.7923976608187134,5475,3360,4907,18432,994,1337,1830,1818,1827
289,789,684,0.8669201520912547,1740,1311,1635,5120,495,537,554,667,519
290,706,641,0.9079320113314447,1575,1301,1510,2688,439,471,513,594,468
291,1641,1407,0.8574040219378428,3386,2474,3152,23296,812,959,1092,1218,1076
292,3003,1532,0.5101565101565102,6124,2022,4466,17920,658,994,2331,1390,2403
293,1026,901,0.878167641325536,2142,1656,2016,5376,608,667,698,740,704
294,1016,910,0.8956692913385826,2131,1719,2025,4608,633,687,668,671,792
295,1302,992,0.7619047619047619,2617,1610,2294,12672,628,737,954,777,886
296,2950,2151,0.7291525423728814,6425,3594,5600,14976,961,1278,2169,1814,2442
297,3966,2588,0.6525466464952093,8784,3971,7341,32768,967,1280,3175,2443,3166
298,3268,2813,0.8607711138310894,6792,5048,6332,21504,1225,1503,2439,1946,2407
299,3147,2408,0.7651731808071179,6537,4230,5732,28672,1077,1297,2495,1586,2456
300,795,709,0.8918238993710692,1660,1323,1574,3584,528,557,532,630,498
301,833,708,0.8499399759903962,1766,1277,1641,3584,476,533,564,513,689
302,2052,1597,0.7782651072124757,4411,2728,3952,16128,830,1008,1669,1040,1702
303,4754,3418,0.7189734960033656,10785,5975,9429,23040,1162,1601,3983,2880,3922
304,1315,996,0.7574144486692015,2933,1782,2611,5120,680,771,1062,798,1073
305,1457,1203,0.8256691832532601,3576,2467,3319,3200,730,851,1114,1350,1112
306,429,403,0.9393939393939394,842,741,816,8960,337,336,329,239,274
307,3887,2923,0.7519938255724209,9326,5660,8351,13824,1100,1492,3384,2665,3277
308,778,656,0.8431876606683805,1579,1125,1457,6144,539,559,541,494,544
309,1901,1152,0.6059968437664387,4198,1601,3444,4992,344,518,1578,1001,1619
310,3389,1833,0.5408675125405724,7571,2620,5848,8064,417,748,2271,2739,2561
311,999,866,0.8668668668668669,2200,1682,2067,3840,584,651,680,826,694
312,866,745,0.8602771362586605,1766,1307,1645,4608,499,550,648,379,739
313,3890,2332,0.5994858611825192,7979,3140,6361,19968,722,1055,2600,2506,2873
314,1878,1622,0.8636847710330139,4227,3255,3961,11520,774,907,1432,1374,1421
315,2088,1910,0.9147509578544061,4930,4147,4752,9600,825,910,1757,1488,1685
316,1807,991,0.5484228002213614,3694,1352,2866,12288,374,472,1595,522,1577
317,1652,988,0.5980629539951574,3740,1465,3072,4608,415,523,1132,1476,1132
318,4214,3431,0.8141907925961082,9794,6471,8993,15488,1103,1449,3140,3524,3130
319,2203,1031,0.46799818429414436,4546,1482,3167,9600,468,609,1968,769,1809
320,3071,2084,0.678606317160534,6371,2992,5333,11520,519,793,2600,2500,1271
321,886,675,0.7618510158013544,1806,1050,1592,8192,517,556,621,581,604
322,4686,3386,0.722577891591976,10725,5909,9370,19200,1181,1637,3644,3525,3556
323,2657,1274,0.47948814452389915,5484,1807,3911,15488,573,766,1881,1790,1813
324,1839,1287,0.6998368678629691,4239,2244,3670,4480,667,856,1419,1339,1481
325,654,446,0.6819571865443425,1516,770,1298,1536,261,330,569,409,538
326,271,228,0.8413284132841329,562,399,519,1280,196,201,136,195,231
327,1761,1423,0.8080636002271436,3957,2709,3616,16896,743,893,1325,1290,1342
328,1278,1084,0.8482003129890454,2840,2085,2646,7680,700,779,910,954,976
329,1025,858,0.8370731707317073,2437,1750,2270,7168,519,589,851,843,743
330,3844,2586,0.6727367325702394,8802,4345,7439,21120,945,1295,2818,2883,3101
331,2960,2279,0.7699324324324325,6591,4437,5879,24576,1075,1287,2385,1816,2390
332,2210,1866,0.8443438914027149,5354,3881,5010,5376,1056,1268,1793,1640,1921
333,3542,3026,0.8543195934500283,8074,5940,7558,26880,1410,1779,2526,2914,2634
334,893,722,0.8085106382978723,1976,1316,1804,5376,519,581,698,724,554
335,4802,4675,0.9735526863806747,11289,10736,11162,26880,1826,1936,3716,3821,3752
336,1278,1038,0.812206572769953,2685,1780,2445,7168,642,748,991,662,1032
